Bed Name,Site Code,Survey Date,Survey Day,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge,NWSC Max Ext,avg_temp
Lowell,LWLP,2024-09-15,15.0,9.0,2024.0,24.88908266453962,,13.3,13.5,13.3,13.9,13.3,13.7,1.0,13.5
Lummi SW,LMMI-SW,2017-08-05,5.0,8.0,2017.0,2.562993343337811,,,,,,,,1.0,
Lummi SW,LMMI-SW,2018-08-11,11.0,8.0,2018.0,3.050642071585538,13.0,,,,,,,1.0,13.0
Lummi SW,LMMI-SW,2019-08-02,2.0,8.0,2019.0,2.198209339841837,16.0,,,,,,,1.0,16.0
Lummi SW,LMMI-SW,2020-08-16,16.0,8.0,2020.0,1.94175264212293,,16.7,16.7,16.7,16.7,16.7,16.7,1.0,16.7
Lummi SW,LMMI-SW,2021-08-09,9.0,8.0,2021.0,2.964306474271297,,15.0,14.44,15.0,14.44,15.0,14.44,1.0,14.719999999999999
Lummi SW,LMMI-SW,2022-08-13,13.0,8.0,2022.0,2.660643449027656,,12.78,12.22,12.78,12.22,12.78,12.22,1.0,12.5
Lummi SW,LMMI-SW,2023-07-31,31.0,7.0,2023.0,2.536696174500444,,12.2,11.7,11.7,11.7,12.0,11.7,1.0,11.833333333333334
Lummi SW,LMMI-SW,2024-08-17,17.0,8.0,2024.0,3.480672814814636,,12.8,12.8,12.8,12.8,12.8,12.8,1.0,12.799999999999999
North Beach East,NB-E,2016-09-22,22.0,9.0,2016.0,22.09111567324684,13.0,,,,,,,1.0,13.0
North Beach East,NB-E,2017-07-22,22.0,7.0,2017.0,18.51531655105461,11.0,,,,,,,1.0,11.0
North Beach East,NB-E,2018-08-25,25.0,8.0,2018.0,9.329158651029495,,,,,,,,1.0,11.0
North Beach East,NB-E,2019-09-02,2.0,9.0,2019.0,11.85094286269241,13.0,,,,,,,1.0,13.0
North Beach East,NB-E,2020-08-26,26.0,8.0,2020.0,14.85305392168495,,14.0,14.0,,,14.0,14.0,1.0,14.0
North Beach East,NB-E,2021-08-20,20.0,8.0,2021.0,25.57907831201522,,12.1,,,,12.1,,1.0,12.1
North Beach East,NB-E,2022-08-27,27.0,8.0,2022.0,19.14541036077254,,11.8,11.5,11.5,11.6,11.65,11.55,1.0,11.6
North Beach East,NB-E,2023-08-12,12.0,8.0,2023.0,18.18814590240919,,11.8,11.8,12.3,11.8,12.0,11.8,1.0,11.916666666666666
North Beach East,NB-E,2024-08-17,17.0,8.0,2024.0,19.29639125660871,,,,11.8,10.9,11.8,10.9,1.0,11.35
Polnell Point,POLN,2016-08-30,30.0,8.0,2016.0,36.72804001266616,17.0,,,,,,,1.0,17.0
Polnell Point,POLN,2017-09-18,18.0,9.0,2017.0,27.43211920760829,,,,,,,,1.0,16.0
Polnell Point,POLN,2018-09-10,10.0,9.0,2018.0,75.7096873910009,13.0,,,,,,,1.0,13.0
Polnell Point,POLN,2019-09-26,26.0,9.0,2019.0,47.31235013600108,15.0,,,,,,,1.0,15.0
Polnell Point,POLN,2020-08-31,31.0,8.0,2020.0,41.30371607838064,,13.9,13.2,,,13.9,13.2,1.0,13.55
Polnell Point,POLN,2021-08-24,24.0,8.0,2021.0,36.42661564578258,,13.6,13.7,,13.9,13.6,13.8,1.0,13.719999999999999
Polnell Point,POLN,2022-09-11,11.0,9.0,2022.0,17.56186463394933,,13.2,13.1,13.2,12.9,13.2,13.0,1.0,13.1
Polnell Point,POLN,2023-08-15,15.0,8.0,2023.0,38.71291760867629,,14.9,15.9,16.0,14.8,15.5,15.4,1.0,15.416666666666666
Polnell Point,POLN,2024-08-21,21.0,8.0,2024.0,35.73099687493362,,14.5,14.7,13.8,14.1,14.15,14.399999999999999,1.0,14.275
Possession Point,POSS,2017-08-24,24.0,8.0,2017.0,21.48492019100219,13.0,,,,,,,1.0,13.0
Possession Point,POSS,2018-08-14,14.0,8.0,2018.0,38.00233083091084,16.0,,,,,,,1.0,16.0
Possession Point,POSS,2019-08-16,16.0,8.0,2019.0,60.67091155370715,15.0,,,,,,,1.0,15.0
Possession Point,POSS,2020-08-31,31.0,8.0,2020.0,51.08569876322605,,15.0,14.5,,,15.0,14.5,1.0,14.75
Possession Point,POSS,2021-08-11,11.0,8.0,2021.0,65.7338868649602,,16.0,17.0,,18.0,16.0,17.5,1.0,16.9
Possession Point,POSS,2022-09-10,10.0,9.0,2022.0,88.63036112573265,,14.5,14.0,14.0,14.5,14.25,14.25,1.0,14.25
Possession Point,POSS,2023-08-14,14.0,8.0,2023.0,85.88719954864276,,16.8,16.5,17.2,18.6,17.0,17.6,1.0,17.28333333333333
Possession Point,POSS,2024-08-16,16.0,8.0,2024.0,75.56470729914584,,14.8,14.6,15.3,14.8,15.05,14.7,1.0,14.875
Shannon Point East,SHPT-E,2017-09-15,15.0,9.0,2017.0,8.398103503089558,14.0,,,,,,,1.0,14.0
Shannon Point East,SHPT-E,2018-09-10,10.0,9.0,2018.0,10.12835949235011,14.0,,,,,,,1.0,14.0
Shannon Point East,SHPT-E,2019-08-18,18.0,8.0,2019.0,12.09649628289971,17.0,,,,,,,1.0,17.0
Shannon Point East,SHPT-E,2020-09-18,18.0,9.0,2020.0,8.583312937775062,,11.4,11.3,,,11.4,11.3,1.0,11.350000000000001
Shannon Point East,SHPT-E,2021-08-20,20.0,8.0,2021.0,8.483058761344934,,13.33,13.33,,,13.33,13.33,1.0,13.33
Shannon Point East,SHPT-E,2022-07-01,1.0,7.0,2022.0,5.374904479777809,,10.56,11.11,,,10.56,11.11,1.0,10.835
Shannon Point East,SHPT-E,2023-08-04,4.0,8.0,2023.0,1.216886744308951,,12.8,12.8,12.8,12.8,12.8,12.8,1.0,12.799999999999999
Shannon Point East,SHPT-E,2024-08-16,16.0,8.0,2024.0,0.3904015105616419,,12.2,12.2,12.2,12.2,12.2,12.2,1.0,12.200000000000001
Shannon Point West,SHPT-W,2017-09-15,15.0,9.0,2017.0,5.081828816684256,12.0,,,,,,,1.0,12.0
Shannon Point West,SHPT-W,2018-09-10,10.0,9.0,2018.0,9.81817641829785,16.0,,,,,,,1.0,16.0
Shannon Point West,SHPT-W,2019-07-28,28.0,7.0,2019.0,4.414528847533525,14.0,,,,,,,1.0,14.0
Shannon Point West,SHPT-W,2020-09-18,18.0,9.0,2020.0,7.790410330384972,,11.3,11.5,,,11.3,11.5,1.0,11.4
Shannon Point West,SHPT-W,2021-09-19,19.0,9.0,2021.0,4.860295687805859,,11.11,10.0,,10.56,11.11,10.280000000000001,1.0,10.612
Shannon Point West,SHPT-W,2022-08-12,12.0,8.0,2022.0,3.267263721503619,,12.78,11.11,,,12.78,11.11,1.0,11.945
Shannon Point West,SHPT-W,2023-09-01,1.0,9.0,2023.0,4.720686803974292,,13.3,13.9,12.8,13.3,12.9,13.4,1.0,13.266666666666667
Shannon Point West,SHPT-W,2024-08-16,16.0,8.0,2024.0,6.095016535272763,,12.2,12.2,12.2,12.2,12.2,12.2,1.0,12.200000000000001
