OBJECTID,Location,Bed Name,Survey Date,Survey Month,Survey Year,Start Time,End Time,Tide Station,Tidal Ht m,Temp1 Shore Edge,Ave Temp Shore Edge,Observations,Additional Obs,Survey_ID,County,Site Code,Survey Day,NWSC Max Ext,DNR Max Ext,Visit Num,Survey Num,Analyze,Analyze Notes,Acres,Acres NWSC clip,Acres Ave NWSC Max Ext,Acres DNR clip,Miles,Weather,Survey Conditions,MLLW Tidal Ht m,Depth2 Shore Edge,Depth2 Water Edge,Ave Depth Shore Edge m,Ave Depth Water Edge m,MLLW Depth2 Shore Edge m,MLLW Depth2 Water Edge m,Current Station,Current Knots,Temp2 Shore Edge,Temp2 Water Edge,ToBe,ToWa,BeL,BeR,Notes,Extent Start Waypoint,Extent End Waypoint,Bulb m2,Shape__Area,Shape__Length
11,North Beach Main,North Beach East,2015-09-12,9,2015,14:55:00,15:08:00,9444900,1.8379,,,,,North_Beach_East_Sept_12_2015,Jefferson,NB-E,12,0,0,1,1,0,surveyed at high tide,2.42255135743846,2.42255135743846,,2.42422365370915,0.301353448762708,,,,,,,,,,,,,,,,,,,,,1.2619,105599.163452148,1591.69516143478
12,North Beach West,North Beach West,2015-09-12,9,2015,15:35:00,15:42:00,9444900,2.1031,,,"High tide, bulbs under surface, small clusters of bulbs >8m away from the main bed. No bulbs on surface inbetween them, but they are clearly connected",,North_Beach_West_Sept_12_2015,Jefferson,NB-W,12,0,0,1,1,0,small bed outside guides,0.81300082153202,,,,0.146727521861842,,,,,,,,,,,,,,,,,,,,,1.8027,35438.7437744141,774.98846495268
13,Pole Pass,Pole Pass,2015-08-26,8,2015,09:00:00,09:30:00,Friday Harbor,,,,,,Pole_Pass_Aug_26_2015,San Juan,POLP,26,0,0,1,1,0,only half of perimeter mapped? Need to explore more,0.386057377311136,,,,0.152376278173584,,,,,,,,,,,,,,,,,,,,,1.2076,16835.5732421875,804.999119669078
14,Edmonds North,Edmond 2 (B),2015-07-14,7,2015,09:24:00,10:45:00,Edmonds,-0.3048,,,"Very large patch. Variable density. Extends north to Shell Creek
Two transects at different places within the bed. Density of 6.1 one transect and 1.19 the other",,Edmond_2_(B)_July_14_2015,Snohomish,ED-N,14,1,1,1,1,1,,15.1400388978539,15.1400388978539,15.14,15.1458958271345,1.07609519995379,,,,,,,,,,,,,,,,,,,,,6.1012,659755.209716797,5682.88152248896
15,Edmonds North,Edmond 3 (A),2015-07-14,7,2015,09:34:00,10:05:00,Everett (9447659),-0.3048,,,"Some intermixed samm (sargassum muticum) and eelgrass. Bare areas just outside bed. Some lamanaria saccarina interspered, moon snail eggs. Most kelp looks pretty healthy, some kind of bleached, some of the whips are spiraled, lots of crabs, some of the kelp leaves seem to have air bubbles in them.",,Edmond_3_(A)_July_14_2015,Snohomish,ED-N,14,1,1,1,1,1,,0.931591268111368,0.931591268111368,,0.931948873788612,0.283548963338265,,,,,,,,,,,,,,,,,,,,,2.1549,40595.6748657227,1497.42539530318
16,Edmonds North,Edmond 3 (C),2015-07-14,7,2015,10:26:00,10:35:00,Edmonds,-0.5486,,,"Shallower bed, parallel to large EDB. SAMM, LASA intermixed
Some zosteria japonica higher on beach (out of water about 10 ft from railroad revetment)",,Edmond_3_(C)_July_14_2015,Snohomish,ED-N,14,1,1,1,1,1,,0.441771144865244,0.441771144865244,,0.44194135065209,0.187347657445535,,,,,,,,,,,,,,,,,,,,,1.8182,19250.9638061523,989.386159102869
17,Meadowdale,Meadowdale 1,2015-07-17,7,2015,12:50:00,13:12:00,Everett,-0.3658,,,,,Meadowdale_1_(C)_July_17_2015,Snohomish,MDL,17,1,1,1,1,1,,0.647495373993045,0.647495373993045,0.6475,0.647757772379878,0.127344087870223,,,,,,,,,,,,,,,,,,,,,0.101,28216.3486938477,672.513251061377
18,Meadowdale,Meadowdale 2,2015-07-17,7,2015,12:27:00,12:45:00,Everett,-0.3658,,,No depths recorded at Meadowdale B,,Meadowdale_2_(B)_July_17_2015,Snohomish,MDL,17,1,1,1,1,1,,0.801068224272998,0.801068224272998,0.8011,0.801394188417346,0.17887704955101,,,,,,,,,,,,,,,,,,,,,1.3986,34908.7382202148,944.663089869208
19,Meadowdale,Meadowdale 3,2015-07-17,7,2015,12:03:00,12:16:00,Everett,-0.3048,,,"By the Lynnwood treatment plant.
Small bed associated with old pilings",,Meadowdale_3_(A)_July_17_2015,Snohomish,MDL,17,1,1,1,1,1,,0.068170082384956,0.068170082384956,0.0682,0.0681980283577601,0.0552244101807239,,,,,,,,,,,,,,,,,,,,,0.1347,2970.70532226563,291.644614303745
20,Mukilteo,Mukilteo 1 (B),2015-07-16,7,2015,11:08:00,11:25:00,Everett,-0.4267,,,Larger than MKA ~ 20 m wide,,Mukilteo_1_(B)_July_16_2015,Snohomish,MKTO,16,1,1,1,1,1,,0.224324285836829,0.224324285836829,0.2243,0.22443604730142,0.143122493940474,,,,,,,,,,,,,,,,,,,,,0.4377,9776.43872070313,755.875163759364
21,Mukilteo,"Mukilteo 2, 3&4 (D)",2015-07-16,7,2015,11:42:00,12:01:00,Everett,-0.4877,,,hugs the shoreline,,Mukilteo 2_3&4_(D)_July_16_2015,Snohomish,MKTO,16,1,1,1,1,1,,1.12040730108124,1.12040730108124,1.1204,1.12096241946363,0.431933270913895,,,,,,,,,,,,,,,,,,,,,0.3367,48829.1121826172,2281.17254397238
22,Mukilteo,Mukilteo 5 (E),2015-07-16,7,2015,12:03:00,12:28:00,Everett,-0.4877,,,"Good sized riprap offshore, kelp loves it
large bed. Extends offshore 100 m. denser, many are on large rocks",,Mukilteo_5_(E)_July_16_2015,Snohomish,MKTO,16,1,1,1,1,1,,1.92010313394949,1.92010313394949,1.9201,1.92104967000233,0.370224363092521,,,,,,,,,,,,,,,,,,,,,1.5488,83680.9390869141,1955.26644281777
23,Mukilteo,Mukilteo 6 (A),2015-07-16,7,2015,10:44:00,11:02:00,Everett,-0.2438,,,"Small bed near shore-shallow.
Extra low density about 5-8 m wide
BL took 3 mins
eelgrass on north",,Mukilteo_6_(A)_July_16_2015,Snohomish,MKTO,16,1,1,1,1,1,,0.139816093515999,0.139816093515999,0.1398,0.139886019599126,0.0990020778041324,,,,,,,,,,,,,,,,,,,,,0.404,6093.44543457031,522.862125789374
24,Mukilteo,Mukilteo C,2015-07-16,7,2015,11:26:00,11:35:00,Everett,-0.4572,,,"No transect, total bulb counts avg 101 (Lincoln 109, Taylor 97)/
Observers counted all bulbs in entire bed, averaged counts.
Very low density, small bed
Density = 101/318.48 m2 = 0.32 bulbs/m2
* area of entire bed derived in GIS",,Mukilteo_C_July_16_2015,Snohomish,MKTO,16,1,1,1,1,1,,0.0786981993739611,0.0786981993739611,0.0787,0.0787375391612058,0.0644795959413318,,,,,,,,,,,,,,,,,,,,,,3429.80090332031,340.537026929395
25,Mukilteo,Mukilteo F,2015-07-16,7,2015,12:30:00,12:42:00,Everett,-0.3962,,,Small offshore bed.,,Mukilteo_F_July_16_2015,Snohomish,MKTO,16,1,1,1,1,1,,0.57519148578936,0.57519148578936,0.5752,0.575474041372467,0.166329981023146,,,,,,,,,,,,,,,,,,,,,0.6397,25067.6417236328,878.437843853871
26,Mukilteo,Mukilteo G,2015-07-16,7,2015,12:50:00,13:03:00,Everett,-0.3048,,,,,Mukilteo_G_July_16_2015,Snohomish,MKTO,16,1,1,1,1,1,,0.772821293876839,0.772821293876839,0.7728,0.773199249932101,0.20161436502775,,,,,,,,,,,,,,,,,,,,,1.5488,33680.5570068359,1064.78409530114
27,Mukilteo,Mukilteo H,2015-07-16,7,2015,13:22:00,13:32:00,Everett,-0.1219,,,"Just north of houses, runs on a line to NW.
Observers counted all bulbs in entire bed and averaged counts = 57 total plants (Taylor 61, Lincoln 53)
Density = 57 bulbs/254.79 m2 = 0.22 bulbs/m2
* area of bed calculated in GIS",,Mukilteo_H_July_16_2015,Snohomish,MKTO,16,1,1,1,1,1,,0.0629584814136123,0.0629584814136123,0.063,0.0629887097417864,0.0693808460802548,,,,,,,,,,,,,,,,,,,,,,2743.79992675781,366.419597431218
28,Mukilteo,Mukilteo I,2015-07-16,7,2015,14:00:00,14:22:00,Everett,0.3353,,,This is the kelp patch of the lost G bed,,Mukilteo_I_July_16_2015,Snohomish,MKTO,16,1,1,1,1,1,,0.278781135049816,0.278781135049816,0.2788,0.278916558014679,0.189733083852893,,,,,,,,,,,,,,,,,,,,,0.9091,12149.6101074219,1002.03415014225
29,Freshwater Bay,Freshwater Bay 1,2016-07-30,7,2016,08:25:00,10:50:00,WillyWeather.com,0.6096,,,Clear day with not a lot of wind.  Bed larger than last survey on 20th (this track is more accurate).  Inner kelp perimeter very close to shoreline.  Healthy bed/bulbs.  A lot of sea birds and one harbor seal.  Giant kelp on far west side.,"On way back stopped track early by accident.  Therefore, did a new track backwards to close gap.",Freshwater_Bay_1_July_30_2016_1,Clallam,FWB,30,0,0,1,1,1,,145.089652733332,145.089652733332,,145.189204191563,4.9556945821231,Clear,,,,,,,,,,,,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-g45JrZf/0/O/Freshwater2_30July2016_ToBe_EastSide.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-tv5KMXX/0/O/Freshwater2_30July2016_ToL_WestSide.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-tv5KMXX/0/O/Freshwater2_30July2016_ToL_WestSide.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-sWMQsKC/0/O/Freshwater2_30July2016_ToR_EastSdie.jpg,,,,,6324441.82891846,26175.0425856813
30,Freshwater Bay,Freshwater Bay 1,2016-08-19,8,2016,09:45:00,12:45:00,WillyWeather.com,0.0305,,,3rd survey of this bed. 0.0 tide was about a quarter way around bed. Bed was more filled in at far east side so counted more outlying bulbs. Was a very calm day and therefore was safer to kayak very close to shore.,"Shaw harbor seal (1), harbor porpoise (1), river otter (2).",Freshwater_Bay_1_August_19_2016_1,Clallam,FWB,19,1,1,2,1,1,,169.696117641913,169.696117641913,169.6961,169.812532258743,5.10175934610363,Clear,,,,,,,,,,,,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-HGP6HZ4/0/O/Freshwater2_19August2016_ToBe%28025Fw2S%29.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-tBMrwkJ/0/O/Freshwater2_19August2016_ToWa_EastSide.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-7GZ5zKf/0/O/Freshwater2_19August2016_ToBe_middleToShore%28025B%29.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-C8JFmdH/0/O/Freshwater2_19August2016_BeR%20_WestsidetoEast.jpg,,,,,7397033.97039795,26946.5280857345
31,Observatory Point,Freshwater Bay 2,2016-07-02,7,2016,09:29:00,09:30:00,WillyWeather.com,,,,Good density in a crescent shaped bed with average 4-7 bulbs within the length of 17' kayak.  More bulbs underwater.  1st weekend of crabby season.  Parking lot crowsed with 15 boats in area.  40 ochre starts (Pisaster ochraceus) in area. Many were mature with one juvenile.,"No photos. Some blood stars, Harlegum duck, commun mergansers, piegeon gullemonts, surf scooters.",Freshwater_Bay_2_July_2_2016_1,Clallam,FWBO,2,1,1,1,1,1,,0.706490963665591,0.706490963665591,0.7065,0.706982523005292,0.181689047783851,Clear,,,,,,,,,,,,,,,,,,,,,30796.1481323242,959.651681163716
32,Ben Ure,Ben Ure,2016-07-01,7,2016,07:53:00,08:54:00, Yokeko Point (9448601),0.0305,,,"A. Health and morphology of kelp field:  appears very healthy, clean, whole, uniform color given two distinct morphs, and scant surface deposits. Plants with bulbs ≥2.5 in diameter are a darker color, purple-brown, compared to plants with bulbs ≤ 2.0 in diamter which are a lighter color, amber. Stipes are consistently the same color as bulbs for a given plant . Samples were collected from 40 different plants for molecular ecology analysis.
C. Density of kelp field and orientation in water column: The end point areas are low density often with only 1-2 plants between inner and outer borders. The center of the crescent shape field is the most dense and the widest (at northeast and north side of island). In the low density area closest to the start point most plants had upper end of stipes oriented vertically in water and blades completely floating near or at surface roughly parallel. This contrasted with the high density zones where plants had long sections of stipes floating at the surface and most blades invisible or under the surface. Most of the surface area of this high density center area was completely covered with kelp. Any future density measurements should not count only bulbs, but rather stipes in most locations and bulbs in other locations as long as individual plants can be distinguished.
D. Human impacts: one banana peel1ft from kelp field on north side; signs on island,“Keep Off”;  buoys ~50 yd off shore prevent boats from getting close; shore and intertidal areas appear undisturbed; ~0.5 in-thick cream colored, finely crushed shell material lays undisturbed in sandy areas between rocks.
E. Other kelp species: Ulva latica (ubiquitous, mid-low intertidal); Fucus distichus (plentiful, mostly mid, some patches low); Sargassum muticum (2-5 ftL, just below surface, at inner border); Saccharina latissima, (ubiquitous, near/above & below waterline, very large blades); Costaria Costata (2.75ft L, south side); Unknown brown seaweed (NE side, dry, blade like Alaria marginata but stipe like Saccharina setchellii); possibly ≥1 more brown seaweed present; Hildenbrandia sp (noticeable at east side); only one red seaweed found, turkish towel, but it was a detached piece; possibly ≥1 more red seaweed present.
F. Fish:  (1)3-in fish observed in spaces of kelp on east side (possibly salmon or stickleback); (3)shiner perch seen same location previous week during recon visit; (1) small fish jumped from water on east side (probably 6-in L or less).","G. Birds: (1)pigeon guillemot diving for fish 20yd from start point/south side upon my arrival within 20 yd of kelp field, it flew off to SW after 3 seconds; (2) blue heron, large and small, in flight, appeared to prepare to land on the island; many bird vocalizations heard on the east, northeast, and north side of island.  

H. Eel Grass: No eel grass observed within bull kelp field; eel grass growing in sparse clumps ~6-10 ft from start point and ~50 ft from turnaround point; massive, thick eel grass beds growing on south and west sides of island covered with wooly, brown detritus/algae, but leaves are green underneath.

I. Intertidal and sub tidal organisms: 
•	large Dungeness crab (in kelp below surface, southeast side);
•	Nucella, sp. (ubiquitous, mid-low intertidal zone, 1-2 in L); 
•	Sabellidae sp (1 colony, ~15 parchment tubes 6-12 in L, NE side, dry, at inner border); 
•	Evasterias sp, (gray, radius = 7in, healthy, on vertical rock wall just above water line, north side); 
•	Pisaster ochraceus, (purple, radius = 9 in, healthy, feeding, partially above water line, north side); 
•	Strongylocentrotus droebachiensis, (green, diameter = 2 in, vertical rock wall just above water line, north side);
•	limpets, (few, occasional, north side)
•	Katharina tunicata, (near water line, northeast side)
•	Unknown (floating at waterline near start point; no visible tentacles; milky to transparent with purple geometrically place lines spiraling from poles, turgid, smooth surface, buoyant yet dense, very thin membrane, interior appears to be a liquid, 2.5-3 inch L, see diagram)

J. Other organisms observed, but ID not yet confirmed:
o	red sponge nudibranch?
o	sea cucumber?
o	lined anemone?
o	orange cup coral?
o	sponges?
o	orange sea pens?
o	shaggy nudibranch?",Ben_Ure_July_01_2016_1,Island,BEUR,1,,,1,1,1,,0.784475914848494,,,,0.70621805036501,Clouds,,,,,,,,,,,,,,,,,,,,,34203.7808837891,3730.57731377907
33,Ben Ure,Ben Ure,2016-07-30,7,2016,13:22:00,13:54:00, Yokeko Point (9448601),0.9754,,,"No depth data available; forgot to bring measurement tool. Harbor seal 100 yd from kelp upon my arrival and departure.  Blue Heron standing on kelp posed to stike prey at SE section of field.  Large fishing boat anchored ~30 yd from start part, i.e., the most south point.  A float is vey close to the south end/start poitn.  Crabbing and speed baot activity within 150 yd and sometimes less.  I did not examine condition of bull kelp.  Ulva seems to be underwater/not visivle.  Fucas is visible and its max height line on the roack wall was 3 to 4 ft above the water line.",Density: Overall not very dense at all; an in par this is because the kelp field is small and narrow.  Most important discovery today is that I was able to track the inner border of the bull kelp field accurately as it was located out in the water away from the rocks. There were a couple short sections where plants were at the waterline.,Ben_Ure_July_30_2016_1,Island,BEUR,30,,,2,1,1,,0.820191777467265,,,,0.655507202803847,Clear,,,,,,,,,,,,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-gWvFBSB/0/O/BenUhre_30July2016_ToBe1.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-3L7XBS4/0/O/BenUhre30July2016_ToWa1.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-NrK5cpX/0/O/BenUhre_30July2016_BeL.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-sK7BX2J/0/O/BenUhre_30July2016_BeR2.jpg,,,,,35761.0219726563,3462.69872080615
34,Ben Ure,Ben Ure,2016-08-17,8,2016,09:50:00,11:27:00,Cornet Bay (9447995),-0.061,,,"No photos were taken. A. Health and morphology bull kelp: white circular deposits, ~0.5-2.0 inches in diameter seen on some blades; center of circles slightly darker or more transparent. Many bulbs have a green algae growing on them and some bulbs have tissue that appears either damaged, bleached, or dead, lacking normal green color.
B. Density of kelp field and orientation in water column: Most of the surface area of the highest density center area was completely covered with bull kelp. Field overall looks same as before. Often large sections of the stipes and bulbs are floating on surface and blades generally below the surface. 90% or more of the inner border of kelp field is at the waterline and in a few areas bull kelp plants are laying down on the rocky beach.
C. Human impacts: Same tribal fishing boat is anchored ~35 yards from kelp bed starting point and two buoys are fixed ~30-50 yd off shore at southeast end of island. Much boating activity and resulting waves.
D. Other kelp species: Three kelp species discovered today not previously reported: Mastocarpus sp. (Turkish washcloth); Mazzaella splendens (iridescent seaweed); Coralline Red Encrusting Seaweed (pink color).
E. Birds, fish, mammals: Gulls fishing at surface, standing on bull kelp. No other fish activity observed. Harbor seal at SE end of kelp field marked as w.p. 521.
F. Intertidal and sub tidal organisms: (1) red rock crab, 8 in width carapace; (1) Evasterias, (mottled star), grey color, radius ~8 in; (1) Henricia (blood star), radius ~2 in; many large Mopalia muscosa (mossy chiton) ~3 in L near waterline; many large egg yolk jellies near the surface.","After the tracking of the outer border of the bull kelp field was completed, then depth measurement of point furthest from shore was taken. Two GPS tracks were created by walking on the island along the waterline. 1st track from S to N to W at a 10 sec interval and 2nd track from N to E to S at 5 sec interval. Each waterline track took ~25 minutes. The purpose of the waterline tracks was to establish an accurate, non-invasive, and safe, method of tracking the inner border of the bull kelp field which is mostly at the waterline or on land.",Ben_Ure_Aug_17_2016_1,Island,BEUR,17,,,3,1,1,,1.30990262976303,,,,0.735752382100386,Clear,,,,,,,,,,,,,,,,,,,,,57112.8087158203,3886.59164409683
35,Ben Ure,Ben Ure,2016-08-20,8,2016,,,,,,,,no datasheet,Ben_Ure_Aug_20_2016_1,Island,BEUR,20,,,4,1,1,,1.0729062213052,,,,0.66461558458205,,,,,,,,,,,,,,,,,,,,,,46779.5767822266,3510.81355500975
36,Ben Ure,Ben Ure,2016-08-30,8,2016,10:13:00,,Cornet Bay (9447995),-0.0914,,,,,Ben_Ure_Aug_30_2016_1,Island,BEUR,30,,,5,1,0,only half of bed mapped? need to explore more,0.998758899128978,,,,0.522688704924048,Clouds,,,,,,,,,,,,,,,,,,,,,43546.6961669922,2761.08883748598
37,Ben Ure,Ben Ure,2016-09-04,9,2016,12:10:00,13:12:00,Cornet Bay (9447995),0.9754,,,"A. Health and morphology bull kelp: White circular deposits, ~0.5-2.0 inches in diameter not as obvious as before probably due to most blades deeper in water.
As last time many bulbs have a green algae growing on them, but now the green algae extends several feet along the stipes. As last time, some bulbs have tissue
that appears either damaged, bleached, or dead, lacking normal green color.
B. Density of kelp field and orientation in water column: For the most part there is space between the inner border and the rocky shore for paddling: largest
areas are on northeast, east and south sides of island. Some sections of northwest inner border kelp are at waterline; paddling the inner border cannot be done
accurately or safely even at +3ft. Large sections of the stipes are floating on surface and blades are underwater, hanging downward or unfurled to the east. The
bulbs appear to be a few inches higher above the surface than usual.
C. Water: near bull kelp field the water is very turbid and there is foam and slime on the surface.
D. Human impacts: much large boat traffic creating waves; people retrieving crab pots nearby; large tribal fishing boat usually anchored here is gone; ~50 yards
from kelp bed off SE corner are two new red buoys with flags and blue tour boat, Island Whaler (photo) motored past very close to these buoys.
E. Birds, fish, mammals: Gulls in bull kelp field. Several small fish were seen jumping from surface. Harbor seal ~70yd off NE end of kelp field marked. Pigeon
guillemot flew across water from south end of island.
F. Intertidal and sub tidal organisms: many large and small egg yolk jellies near the surface.","At the northwest section of the outer border GPS track, large waves caused me to paddle away from the perimeter. When the waves
subsided 2-3 minutes later I returned to the perimeter; these extra points are in the log and indicated on the BaseCamp map. After completion of the perimeter
track I took the temp and depth measurements from the point furthest from shore. *Next, I quickly re-paddled the kelp field and took all the photos. Most of the
way there was room for my kayak to track the inner border, but there still are problems on the north side even at+3 ft tide level. Possibly there would be more
room to paddle the inner border at +4 to +5ft. I don’t think an ebb vs. flood period would make any difference.",Ben_Ure_September_4_2016_1,Island,BEUR,4,,,6,1,1,,1.03891243338955,,,,0.718655904350759,Clouds,,,,,,,,,,,,,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-WTwkXs4/0/O/BenUhre_4September2016_ToBe1.jpg,https://photos.smugmug.com/Projects/Kelp/Kelp-SoundIQ-photos/i-fKWLBJv/0/O/BenUhre_4September2016_ToWa1.jpg,,,,,,,45297.4167480469,3796.2799329993
38,Ebey's Landing,Ebey's Landing,2016-06-25,6,2016,15:30:00,16:15:00,Admiralty Head 14:23;-0.57,,,,,,Ebeys_Landing_June_25_2016_1,Island,EBL,25,0,0,1,1,1,,18.2823099781584,18.2823099781584,,18.295629454442,0.909985646972475,,,,,,,,,,,,,,,,,,,,,,796957.663452148,4806.47444995429
39,Ebey's Landing,Ebey's Landing,2016-07-22,7,2016,10:15:00,13:30:00,Admiralty Head 12:30;-1.5,,,,,,Ebeys_Landing_July_22_2016_1,Island,EBL,22,1,1,2,1,1,,20.3966988732217,20.3966988732217,20.3967,20.4115690211815,1.16399670377792,,,,,,,,,,,,,,,,,,,,,,889127.962280273,6148.14314213183
40,Ebey's Landing,Ebey's Landing,2016-08-19,8,2016,11:40:00,14:40:00,"Admiralty Head 11:30;-1.1' 12:30, 0'",,,,,,Ebeys_Landing_Aug_19_2016_1,Island,EBL,19,0,0,3,1,1,,18.9852323894366,18.9852323894366,,18.9990635978508,1.06053367620361,,,,,,,,,,,,,,,,,,,,,,827599.223022461,5601.65771071329
